InvoiceNo,haircut,hairstylist,location,quantity
1,facial,hasim,achole,1
1,anti-dandruff,viraj,achole,1
2,beard,kasim,achole,1
2,straightning,hasim,achole,1
3,facial,kasim,achole,1
3,anti-dandruff,viraj,achole,1
4,hair,kasim,achole,1
4,eyebrow,hasim,achole,1
5,hair,viraj,achole,1
5,beard,kasim,achole,1
6,hair,viraj,achole,1
6,eyebrow,kasim,achole,1
7,facial,kasim,achole,1
7,anti-dandruff,kasim,achole,1
8,dye,viraj,achole,1
8,straightning,kasim,achole,1
9,hair,hasim,achole,1
9,dye,hasim,achole,1
10,stylinig,hasim,achole,1
10,curls,kasim,achole,1
11,hair,kasim,achole,1
11,beard,kasim,achole,1
12,anti-dandruff,hasim,achole,1
12,anti-dandruff,kasim,achole,1
13,hair,viraj,achole,1
13,dye,hasim,achole,1
14,hair-spa,viraj,achole,1
14,hair,kasim,achole,1
15,facial,kasim,achole,1
15,anti-dandruff,hasim,achole,1
16,eyebrow,hasim,achole,1
16,stylinig,kasim,achole,1
17,hair,hasim,achole,1
17,dye,hasim,achole,1
18,facial,hasim,achole,1
18,beard,hasim,achole,1
19,hair,viraj,achole,1
19,dye,hasim,achole,1
20,dye,hasim,achole,1
20,hair,viraj,achole,1
21,hair,kasim,achole,1
21,dye,hasim,achole,1
22,straightning,hasim,achole,1
22,hair-spa,kasim,achole,1
23,hair,kasim,achole,1
23,dye,hasim,achole,1
24,beard,hasim,achole,1
24,hair,hasim,achole,1
25,hair,hasim,achole,1
25,dye,viraj,achole,1
26,facial,kasim,achole,1
26,hair-spa,kasim,achole,1
27,hair,viraj,achole,1
27,beard,hasim,achole,1
28,eyebrow,kasim,achole,1
28,curls,kasim,achole,1
29,hair,kasim,achole,1
29,beard,viraj,achole,1
30,anti-dandruff,hasim,achole,1
30,eyebrow,kasim,achole,1
31,hair,viraj,achole,1
31,dye,viraj,achole,1
32,hair,hasim,achole,1
32,stylinig,kasim,achole,1
33,hair,viraj,achole,1
33,dye,kasim,achole,1
34,dye,kasim,achole,1
34,hair,viraj,achole,1
35,hair,hasim,achole,1
35,dye,kasim,achole,1
36,eyebrow,kasim,achole,1
36,straightning,kasim,achole,1
37,hair,kasim,achole,1
37,dye,kasim,achole,1
38,dye,kasim,achole,1
38,beard,viraj,achole,1
39,hair,kasim,achole,1
39,dye,hasim,achole,1
40,beard,viraj,achole,1
40,hair,viraj,achole,1
41,hair,hasim,achole,1
41,dye,viraj,achole,1
42,beard,viraj,achole,1
42,anti-dandruff,hasim,achole,1
43,hair,viraj,achole,1
43,beard,hasim,achole,1
44,beard,hasim,achole,1
44,eyebrow,kasim,achole,1
45,hair,kasim,achole,1
45,beard,hasim,achole,1
46,beard,hasim,achole,1
46,curls,kasim,achole,1
47,hair,hasim,achole,1
47,dye,hasim,achole,1
48,straightning,hasim,achole,1
48,stylinig,hasim,achole,1
49,hair,hasim,achole,1
49,dye,hasim,achole,1
50,straightning,kasim,achole,1
